city,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
LaRochelle,Atlantic Coast Maisonnette,Entire home,59,Sabrina,69,4.61,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n69 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n69 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,STUDIO TOUT CONFORT,Private room in guest suite,110,Ralitsa,5,5,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Chambre privĂ©e sur jardin 15 MIN de la ROCHELLE,Room in bed and breakfast,65,Alyette,14,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n65 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n65 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Chambre cosy avec jardin,Private room in house,39,StĂ©phanie,250,4.66,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n253 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n253 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,Appartement au cÅ“ur de La Rochelle.,Entire home,90,Camille,26,4.92,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n26 Reviews']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n26 Reviews']""]",4, '1 bedroom', '2 beds', '1 bath',1,2,1
LaRochelle,Chambre indĂ©pendante centre dompierre sur mer,Private room in guest suite,50,Sabrina,4,5,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n4 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '2 beds', '1 private bath',1,2,1
LaRochelle,Magnifique Duplex en plein cÅ“ur du village,Entire home,220,Melissa,27,4.85,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n154 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n154 Reviews'"", "" '\\U000f0019\\nVerified']""]",5, '2 bedrooms', '3 beds', '1 bath',2,3,1
LaRochelle,Ptit coin de Paradis 5' La Rochelle,Private room in house,44,Gilles,97,4.84,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n97 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n97 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,"studio proche centre ville, ideal pour couple",Entire home,55,Maryse,53,4.65,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n53 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n53 Reviews']""]",2, '1 bedroom', '1 bed', '1 bath',1,1,1
LaRochelle,Chambres Mi yĂ¨me zot case accĂ¨s Jacuzzi,Private room in house,106,Nid Douillet,30,4.9,"['9 guests', '3 bedrooms', '7 beds', '1 private bath', '\U000f0004\n96 Reviews', '\U000f0019\nVerified']","[""['9 guests'"", "" '3 bedrooms'"", "" '7 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n96 Reviews'"", "" '\\U000f0019\\nVerified']""]",9, '3 bedrooms', '7 beds', '1 private bath',3,7,1
LaRochelle,Chambre Ă  15-20 min de La Rochelle,Private room in house,30,Victoria,68,4.63,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n68 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1.5 shared baths',1,1,1.5
LaRochelle,Des vacances responsables et apaisantes,Entire home,110,Anthony,43,4.84,"['6 guests', '3 bedrooms', '2 beds', '1 bath', '\U000f0004\n43 Reviews']","[""['6 guests'"", "" '3 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n43 Reviews']""]",6, '3 bedrooms', '2 beds', '1 bath',3,2,1
LaRochelle,Chambre d'hĂ´tel lit double,Room in boutique hotel,90,Ralitsa,7,4,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n59 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n59 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 private bath',1,1,1
LaRochelle,L'Authentique de 1841,Private room in bed and breakfast,50,Lydie,8,5,"['3 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n10 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n10 Reviews'"", "" '\\U000f0019\\nVerified']""]",3, '1 bedroom', '2 beds', '1 private bath',1,2,1
LaRochelle,Chambre avec vue sur le port (Ch.1),Private room in apartment,34,Alejandra,36,4.32,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n191 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, '1 bedroom', '1 bed', '1 shared bath',1,1,1
Paris,Spacious studio near Bastille,Entire home,53,Alice Et Issam,176,3.88,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n201 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n201 Reviews'"", "" '\\U000f0019\\nVerified']""]",2, 'Studio', '1 bed', '1 bath',0.5,1,1
Paris,Two rooms 45 m2 with terrace.,Entire home,79,Muriel,331,4.82,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n363 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n363 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",4, '1 bedroom', '3 beds', '1 bath',1,3,1
