,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
36,"Paris 10, Sampaix, Gare de l'EST, Gare du NORD",Entire home,185.0,Gary,4,5.0,"['7 guests', '3 bedrooms', '4 beds', '1 bath', '\U000f0004\n8 Reviews', '\U000f0019\nVerified']","[""['7 guests'"", "" '3 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n8 Reviews'"", "" '\\U000f0019\\nVerified']""]",7.0, '3 bedrooms', '4 beds', '1 bath',3.0,4.0,1.0
38,Paris centre île st Louis,Entire home,289.0,Damien,44,4.66,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n48 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n48 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
39,SPACIOUS FLAT 6/8P NEAR GRANDS BOULEVARDS,Entire home,309.0,Fabienne,11,4.18,"['8 guests', '4 bedrooms', '4 beds', '2.5 baths', '\U000f0004\n11 Reviews', '\U000f0019\nVerified']","[""['8 guests'"", "" '4 bedrooms'"", "" '4 beds'"", "" '2.5 baths'"", "" '\\U000f0004\\n11 Reviews'"", "" '\\U000f0019\\nVerified']""]",8.0, '4 bedrooms', '4 beds', '2.5 baths',4.0,4.0,2.5
40,Suite Romantique au Pied du Louvre et desTuileries,Entire home,182.0,Christophe,57,4.86,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n230 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" 'Studio'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n230 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, 'Studio', '1 bed', '1 bath',0.5,1.0,1.0
42,Very Nice & Comfy Flat Eiffel Tower,Entire home,130.0,Nicolas,563,4.71,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n2,660 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n2"", ""660 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
44,Rustic styled bedroom (17m2) in Canal St Martin,Private room in apartment,58.0,Blaise,23,5.0,"['2 guests', '1 bedroom', '1 bed', '1.5 shared baths', '\U000f0004\n362 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 shared baths'"", "" '\\U000f0004\\n362 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1.5 shared baths',1.0,1.0,1.5
45,small maid's room,Private room in apartment,45.0,Aurélia,361,4.46,"['1 guest', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n671 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n671 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
46,Beautiful Room in Quartier Latin,Private room in apartment,54.0,Grégoire,387,4.67,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n422 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n422 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
47,"AMAZING FLAT STYLE LOFT (old workshop), LOUVRE",Entire home,230.0,Anna,67,4.91,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n67 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n67 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
48,Appartement au pied de Saint-Lazare / Opera,Entire home,155.0,Clara,7,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n7 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n7 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
49,"quartier Latin, Cathédrale Notre-Dame",Entire home,500.0,Mathilde,166,4.41,"['12 guests', '4 bedrooms', '7 beds', '2 baths', '\U000f0004\n3,217 Reviews', '\U000f0019\nVerified']","[""['12 guests'"", "" '4 bedrooms'"", "" '7 beds'"", "" '2 baths'"", "" '\\U000f0004\\n3"", ""217 Reviews'"", "" '\\U000f0019\\nVerified']""]",12.0, '4 bedrooms', '7 beds', '2 baths',4.0,7.0,2.0
50,Heart of Grand Méricourt (NEW),Entire home,184.0,Ari,9,4.89,"['6 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n1,392 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n1"", ""392 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
51,Charming Studio in historical building for 3,Entire home,109.0,Michel,46,4.91,"['3 guests', 'Studio', '2 beds', '1 bath', '\U000f0004\n87 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" 'Studio'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n87 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, 'Studio', '2 beds', '1 bath',0.5,2.0,1.0
52,Deux-pièces tout confort près Canal Saint-Martin,Entire home,92.0,Jean-Jacques,3,5.0,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n29 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
53,Bright room at the gates of Paris (8 min to metro),Private room in apartment,38.0,Paul,6,5.0,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n6 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n6 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
54,Stylish Haussmann Apartment - Paris Centre,Entire home,550.0,Louise,138,4.61,"['12 guests', '4 bedrooms', '8 beds', '2.5 baths', '\U000f0004\n2,374 Reviews', '\U000f0019\nVerified']","[""['12 guests'"", "" '4 bedrooms'"", "" '8 beds'"", "" '2.5 baths'"", "" '\\U000f0004\\n2"", ""374 Reviews'"", "" '\\U000f0019\\nVerified']""]",12.0, '4 bedrooms', '8 beds', '2.5 baths',4.0,8.0,2.5
