,house_title,house_type,price,user,no_of_ratings,rating,house_detail,house_details,no_of_guest,house_size,no_of_beds,no_of_baths,house,beds,bath
0,Belle chambre d'hôte,Private room in townhouse,35.0,Evelyne,301,4.97,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n301 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n301 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
1,"Bel appartement coeur de ville, au calme",Entire home,60.0,Sandra,39,4.95,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n203 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
2,studio entre le vieux port et le marché,Entire home,49.0,Jérôme & Malika,194,4.66,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n194 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n194 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
3,Suite indépendante avec vue sur piscine,Private room in bed and breakfast,40.0,Bruce,114,4.91,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n114 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n114 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
4,Bateau hyper centre La Rochelle (PRINCESS),Entire home,39.0,Ubblo,224,4.65,"['2 guests', '1 bedroom', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '2 beds', 'Half-bath',1.0,2.0,0.5
5,Maisonette proche hyper centre avec parking,Entire home,38.0,Anne Jessica,60,4.53,"['2 guests', '1 bedroom', '0 beds', '1 bath', '\U000f0004\n60 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '0 beds'"", "" '1 bath'"", "" '\\U000f0004\\n60 Reviews']""]",2.0, '1 bedroom', '0 beds', '1 bath',1.0,0.0,1.0
7,Chambre dans quartier tranquille,Private room in townhouse,27.0,Stéphanie,45,4.93,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n141 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n141 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
8,Chambre la Rochelle (Lagord) avec petit déjeuner.,Private room in house,45.0,Evelyne,136,4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n150 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n150 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
9,Beau 2 pièces avec terrasse et garage + vélos,Entire home,60.0,Sandra,164,4.9,"['3 guests', '1 bedroom', '2 beds', '1.5 baths', '\U000f0004\n203 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1.5 baths'"", "" '\\U000f0004\\n203 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1.5 baths',1.0,2.0,1.5
10,Chambre privée La Rochelle centre,Private room in apartment,35.0,Laurent Et Kévin,73,4.5,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n73 Reviews']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n73 Reviews']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
11,Chambre/sdb privée chez l'habitant centre ville LR,Private room in townhouse,38.0,Alizé,162,4.83,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n162 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 private bath'"", "" '\\U000f0004\\n162 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 private bath',1.0,2.0,1.0
12,Appartement La Rochelle Vieux Port Classé 2*,Entire home,45.0,Laurent,78,4.74,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n415 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n415 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
13,Chambre de charme en centre ville,Private room in townhouse,40.0,Sylvie,425,4.57,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n425 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n425 Reviews'"", "" '\\U000f1101\\n1 Reference'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
14,"Maison à La Rochelle, vieux port et aquarium à 2km",Entire home,65.0,Adeline,407,4.48,"['5 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n407 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n407 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
15,Appartement de charme La Rochelle centre (65m2),Entire home,55.0,Charles,47,4.19,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n300 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '2 baths'"", "" '\\U000f0004\\n300 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '2 baths',2.0,2.0,2.0
16,Appartement hyper centre dans un lieu historique,Entire home,50.0,Mathieu,241,4.87,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n241 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n241 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
17,La Rochelle - Chambre indépendante&petit dejeuner,Private room in townhouse,48.0,Vincent & Céline,24,4.92,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n24 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
18,Charmant appartement hyper-centre historique,Entire home,75.0,Véronique,18,4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n310 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
19,Agréable T2 Les Minimes La Rochelle parking,Entire home,52.0,Blanche,53,4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n78 Reviews']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
20,Appartement on the beach for 4 to 6 persons,Entire home,100.0,Christina,291,4.76,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n291 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n291 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '4 beds', '1 bath',2.0,4.0,1.0
21,Agréable T2 Les Minimes La Rochelle parking,Entire home,52.0,Blanche,53,4.52,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n78 Reviews']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n78 Reviews']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
22,APPARTEMENT *** TERRASSE - CENTRE HISTORIQUE,Entire home,59.0,Xavier,26,4.69,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n76 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n76 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
23,"Maison cosy, à deux pas du port et de l'aquarium",Entire home,110.0,Valentine,100,4.38,"['6 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n266 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '4 beds', '1 bath',2.0,4.0,1.0
25,Escale La Rochelle - Chambre privée indépendante,Private room in house,55.0,Delphine,214,4.75,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n219 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n219 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
26,Chambre au calme proche de la mer,Private room in house,44.0,Annie,289,4.94,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n289 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n289 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
27,chambre independante,Entire home,32.0,Josiane,78,4.56,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n105 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n105 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
28,Chambre d'hôtes proche La Rochelle THE LODGE 17138,Entire home,62.0,Nathalie Et Yannick,71,5.0,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n71 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n71 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
29,type gite dans un site naturel,Entire home,60.0,Carole,226,4.79,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n226 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n226 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
30,Appartement T3 45m² Hyper Centre La Rochelle,Entire home,115.0,Manon Et Nicole,230,4.88,"['4 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n295 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n295 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
31,Altantique 2,Entire home,145.0,Isabelle,70,4.81,"['5 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n75 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '4 beds'"", "" '1 bath'"", "" '\\U000f0004\\n75 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '4 beds', '1 bath',2.0,4.0,1.0
32,2 chambres douillettes et confortables,Private room in house,32.0,Gaele,24,4.79,"['3 guests', '2 bedrooms', '2 beds', '1 shared bath', '\U000f0004\n24 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 shared bath'"", "" '\\U000f0004\\n24 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '2 bedrooms', '2 beds', '1 shared bath',2.0,2.0,1.0
33,STUDIO MEUBLE AU CŒUR DE VIE DE LA ROCHELLE,Entire home,50.0,Corinne,34,4.39,"['3 guests', '1 bedroom', '1 bed', '1.5 baths', '\U000f0004\n34 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1.5 baths'"", "" '\\U000f0004\\n34 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '1 bed', '1.5 baths',1.0,1.0,1.5
34,Bateau hyper centre La Rochelle (RIPTIDE),Entire home,39.0,Ubblo,163,4.42,"['2 guests', '1 bedroom', '1 bed', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', 'Half-bath',1.0,1.0,0.5
35,Maison bleue,Private room in house,30.0,Sarah,68,4.79,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n68 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n68 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
36,Maison de caractère avec jardin et terrasses,Entire home,190.0,Valentine,51,4.76,"['7 guests', '3 bedrooms', '3 beds', '2 baths', '\U000f0004\n266 Reviews', '\U000f0019\nVerified']","[""['7 guests'"", "" '3 bedrooms'"", "" '3 beds'"", "" '2 baths'"", "" '\\U000f0004\\n266 Reviews'"", "" '\\U000f0019\\nVerified']""]",7.0, '3 bedrooms', '3 beds', '2 baths',3.0,3.0,2.0
37,Studio Atypique sous les toits proche Vieux Port,Entire home,46.0,Emmanuel,24,4.17,"['1 guest', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']","[""['1 guest'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n111 Reviews'"", "" '\\U000f0019\\nVerified']""]",1.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
38,Studio charmant proche La Rochelle,Entire home,35.0,Aurélien,73,4.7,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n73 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n73 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
39,Charmant appartement hyper-centre historique,Entire home,75.0,Véronique,18,4.67,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n310 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
40,Appartement au coeur de La Rochelle,Entire home,60.0,Marie,30,4.4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n298 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
41,T1 meublé aux portes de La Rochelle,Entire home,45.0,Isabelle,102,4.91,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n103 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n103 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
42,Volver Chambre sur le port,Private room in apartment,25.0,Alejandra,3,4.0,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n191 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 shared bath'"", "" '\\U000f0004\\n191 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 shared bath',1.0,1.0,1.0
43,Une petite chambre dans un chalet,Private room in chalet,49.0,Mireille,206,4.55,"['2 guests', '1 bedroom', '1 bed', '1 private bath', '\U000f0004\n206 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 private bath'"", "" '\\U000f0004\\n206 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 private bath',1.0,1.0,1.0
44,Appartement calme à La Rochelle,Entire home,125.0,Vahram,26,4.96,"['7 guests', '3 bedrooms', '5 beds', '1 bath', '\U000f0004\n26 Reviews']","[""['7 guests'"", "" '3 bedrooms'"", "" '5 beds'"", "" '1 bath'"", "" '\\U000f0004\\n26 Reviews']""]",7.0, '3 bedrooms', '5 beds', '1 bath',3.0,5.0,1.0
45,Studio de charme sur le vieux port de la Rochelle,Entire home,100.0,Julien,7,4.86,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n7 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n7 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
46,"STUDIO avec terrasse à 10 mn de La Rochelle, Ré.",Entire home,35.0,Katy,4,4.75,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n4 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n4 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
47,Appartement calme au bord de l'océan,Entire home,90.0,Béa,7,4.71,"['6 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n165 Reviews', '\U000f0019\nVerified']","[""['6 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n165 Reviews'"", "" '\\U000f0019\\nVerified']""]",6.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
48,Charmante maison bien située,Entire home,83.0,Nora,326,4.39,"['5 guests', '2 bedrooms', '3 beds', '1 bath', '\U000f0004\n326 Reviews', '\U000f0019\nVerified']","[""['5 guests'"", "" '2 bedrooms'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n326 Reviews'"", "" '\\U000f0019\\nVerified']""]",5.0, '2 bedrooms', '3 beds', '1 bath',2.0,3.0,1.0
49,Studio City à 50 mètres du vieux Port,Entire home,48.0,Emmanuel,53,4.04,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n111 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n111 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
50,T1bis 35 m² refait à neuf au coeur de La Rochelle,Entire home,60.0,Virginie,50,4.86,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n129 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n129 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
51,Maison à 10 minutes du centre ville de La Rochelle,Entire home,200.0,Marie,65,4.35,"['10 guests', '4 bedrooms', '4 beds', '2 baths', '\U000f0004\n298 Reviews', '\U000f0019\nVerified']","[""['10 guests'"", "" '4 bedrooms'"", "" '4 beds'"", "" '2 baths'"", "" '\\U000f0004\\n298 Reviews'"", "" '\\U000f0019\\nVerified']""]",10.0, '4 bedrooms', '4 beds', '2 baths',4.0,4.0,2.0
52,Jolie maisonnette avec terrasse. Vieux-Port à pied,Entire home,53.0,Guillaume Et Céline,26,4.85,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n29 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n29 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
53,Résidence BNB Confort La Rochelle Centre Piscine,Entire home,75.0,Résidence BNB,72,4.24,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n5,064 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n5"", ""064 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
54,JOLI STUDIO LA ROCHELLE,Entire home,65.0,Brigitte,84,4.87,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n84 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '3 beds'"", "" '1 bath'"", "" '\\U000f0004\\n84 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '3 beds', '1 bath',1.0,3.0,1.0
55,Appartement de plain-pied neuf 30 m²,Entire home,45.0,Francis,36,4.83,"['3 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n36 Reviews']","[""['3 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n36 Reviews']""]",3.0, '2 bedrooms', '2 beds', '1 bath',2.0,2.0,1.0
57,"Magnifique studio La Rochelle port, gare",Entire home,70.0,Gregory,61,4.67,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n67 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n67 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
58,Deux-pièces cosy hypercentre.,Entire home,80.0,Véronique,23,4.87,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n310 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
59,Bateau hyper centre La Rochelle (OCEANIS),Entire home,89.0,Ubblo,91,4.52,"['4 guests', '2 bedrooms', '2 beds', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['4 guests'"", "" '2 bedrooms'"", "" '2 beds'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",4.0, '2 bedrooms', '2 beds', 'Half-bath',2.0,2.0,0.5
60,bateau hyper centre (PTIT CHIPO),Entire home,89.0,Ubblo,16,4.69,"['2 guests', '1 bedroom', '1 bed', 'Half-bath', '\U000f0004\n859 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" 'Half-bath'"", "" '\\U000f0004\\n859 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', 'Half-bath',1.0,1.0,0.5
61,Appartement lumineux vieux port /centre-ville,Entire home,95.0,Veronique,39,4.77,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n39 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n39 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
62,Nid douillet hyper centre La Rochelle,Entire home,65.0,Véronique,57,4.72,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n310 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n310 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
63,Charmant Studio,Entire home,70.0,Noel,80,4.72,"['3 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n80 Reviews', '\U000f0019\nVerified']","[""['3 guests'"", "" '1 bedroom'"", "" '2 beds'"", "" '1 bath'"", "" '\\U000f0004\\n80 Reviews'"", "" '\\U000f0019\\nVerified']""]",3.0, '1 bedroom', '2 beds', '1 bath',1.0,2.0,1.0
64,"Chambre indépendante, entrée privative et parking",Entire home,32.0,Nathalie Et José,152,4.93,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n152 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n152 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
65,Appartement 2 pièces proche La Rochelle et mer,Entire home,30.0,Fabien,137,4.28,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n137 Reviews', '\U000f0019\nVerified']","[""['2 guests'"", "" '1 bedroom'"", "" '1 bed'"", "" '1 bath'"", "" '\\U000f0004\\n137 Reviews'"", "" '\\U000f0019\\nVerified']""]",2.0, '1 bedroom', '1 bed', '1 bath',1.0,1.0,1.0
